Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
738,Jose Siri,26,HOU,AL,48,147,135,18,24,4,2,3,10,6,1,9,48,.178,.238,.304,.542,54,41,2,2,0,1,0,8/H97D,sirijo01
739,Jose Siri,26,TBR,AL,16,55,52,11,11,3,0,0,2,3,0,3,24,.212,.255,.269,.524,55,14,0,0,0,0,0,8,sirijo01
740,Austin Slater,29,SFG,NL,98,264,225,40,60,10,2,5,28,11,0,33,73,.267,.371,.396,.767,118,89,6,5,0,1,0,*8H97/D,slateau01
741,Dominic Smith*,27,NYM,NL,58,152,134,11,26,10,1,0,17,0,0,12,37,.194,.276,.284,.560,61,38,0,4,0,2,0,3DH,smithdo02
742,Josh Smith*,24,TEX,AL,50,176,147,18,32,4,0,1,12,3,2,21,33,.218,.331,.265,.597,76,39,1,5,1,2,0,57/HD4,smithjo11
743,Kevin Smith,25,OAK,AL,47,151,139,9,25,9,1,2,13,4,0,7,42,.180,.216,.302,.518,51,42,5,0,3,2,0,56/H,smithke05
744,Pavin Smith*,26,ARI,NL,65,241,213,20,44,6,0,9,31,1,0,25,63,.207,.290,.362,.652,84,77,1,1,0,2,1,9D/3H,smithpa04
745,Will Smith,27,LAD,NL,102,428,371,52,100,20,1,18,70,1,0,46,67,.270,.357,.474,.832,128,176,6,7,0,4,2,*2D/H,smithwi05
746,Canaan Smith-Njigba*,23,PIT,NL,3,7,5,1,1,1,0,0,0,0,0,1,0,.200,.429,.400,.829,136,2,0,1,0,0,0,/7H,smithca05
747,Collin Snider,26,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,snideco01
748,Nick Solak,27,TEX,AL,33,88,77,12,16,1,0,3,4,3,2,6,18,.208,.299,.338,.637,84,26,1,4,1,0,0,7D/H4,solakni01
749,Donovan Solano,34,CIN,NL,44,168,150,17,48,9,0,3,17,0,0,12,36,.320,.381,.440,.821,122,66,3,4,0,2,0,D5/4H,solando01
750,Jorge Soler,30,MIA,NL,72,306,270,32,56,13,0,13,34,0,2,31,90,.207,.295,.400,.695,94,108,9,3,0,1,1,7D/H,solerjo01
751,Edmundo Sosa,26,TOT,NL,65,155,143,18,28,6,3,0,12,5,1,4,42,.196,.253,.280,.533,54,40,3,7,1,0,0,6H5/D47,sosaed01
752,Edmundo Sosa,26,STL,NL,53,131,122,17,23,4,3,0,8,3,1,4,38,.189,.244,.270,.515,50,33,3,5,0,0,0,6H5/D4,sosaed01
753,Edmundo Sosa,26,PHI,NL,12,24,21,1,5,2,0,0,4,2,0,0,4,.238,.304,.333,.638,80,7,0,2,1,0,0,/H65D7,sosaed01
754,Lenyn Sosa,22,CHW,AL,11,36,35,3,4,1,0,1,1,0,0,1,12,.114,.139,.229,.367,2,8,2,0,0,0,0,/46DH,sosale01
755,Juan Soto*,23,TOT,NL,118,513,401,76,102,20,2,23,50,6,2,108,72,.254,.416,.486,.902,161,195,12,3,0,0,4,*9/DH,sotoju01
756,Juan Soto*,23,WSN,NL,101,436,342,62,84,17,1,21,46,6,2,91,62,.246,.408,.485,.894,159,166,11,3,0,0,4,*9/DH,sotoju01
757,Juan Soto*,23,SDP,NL,17,77,59,14,18,3,1,2,4,0,0,17,10,.305,.461,.492,.952,177,29,1,0,0,0,0,9,sotoju01
758,Steven Souza Jr.,33,SEA,AL,6,19,19,0,3,0,0,0,1,0,0,0,8,.158,.158,.158,.316,-6,3,2,0,0,0,0,/9D,souzast01
759,Cory Spangenberg*,31,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/5,spangco01
760,George Springer,32,TOR,AL,93,401,352,64,94,16,2,18,51,10,1,37,73,.267,.343,.477,.821,132,168,3,6,0,4,1,8D9/H,springe01
761,Jacob Stallings,32,MIA,NL,91,296,270,23,60,10,0,3,28,0,1,20,66,.222,.285,.293,.577,64,79,13,4,1,1,0,*2/HD,stallja01
762,Giancarlo Stanton,32,NYY,AL,80,328,289,40,66,6,0,24,61,0,0,35,93,.228,.309,.498,.807,128,144,6,0,0,3,2,D9/H7,stantmi03
763,Max Stassi,31,LAA,AL,80,298,263,25,52,10,1,7,24,0,0,33,87,.198,.289,.323,.612,74,85,11,1,0,1,0,2/HD,stassma01
764,Josh Staumont,28,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,staumjo01
765,Drew Steckenrider,31,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,steckdr01
766,Michael Stefanic,26,LAA,AL,16,48,42,4,7,1,0,0,0,0,0,4,9,.167,.271,.190,.461,35,8,1,2,0,0,0,4/H,stefami01
767,Jackson Stephens,28,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,stephja01
768,Tyler Stephenson,25,CIN,NL,50,183,166,24,53,9,0,6,35,1,0,12,47,.319,.372,.482,.854,129,80,4,3,0,2,0,2/DH3,stephty01
769,Cal Stevenson*,25,OAK,AL,10,33,26,3,5,2,0,0,0,1,1,5,12,.192,.323,.269,.592,77,7,0,0,2,0,0,8/H,steveca01
770,DJ Stewart*,28,BAL,AL,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,stewadj01
771,Trevor Story,29,BOS,AL,81,342,307,49,68,17,0,15,58,10,0,28,105,.221,.289,.423,.713,96,130,7,3,0,4,4,*4/H,storytr01
772,Bryson Stott*,24,PHI,NL,89,322,297,38,66,11,2,7,37,6,2,24,55,.222,.283,.343,.626,75,102,3,1,0,0,0,46/H5,stottbr01
773,Kyle Stowers*,24,BAL,AL,4,15,14,1,3,1,0,0,3,0,0,0,5,.214,.267,.286,.552,58,4,0,1,0,0,0,/7H9,stoweky01
774,Dee Strange-Gordon*,34,WSN,NL,22,59,59,6,18,1,1,0,2,3,2,0,8,.305,.305,.356,.661,92,21,1,0,0,0,0,6/87HD1,gordode01
775,Myles Straw,27,CLE,AL,114,459,410,57,83,18,2,0,23,15,1,44,67,.202,.279,.256,.536,57,105,4,1,1,3,0,*8/H,strawmy01
776,Garrett Stubbs*,29,PHI,NL,35,94,83,17,24,3,1,5,14,2,0,10,21,.289,.366,.530,.896,148,44,1,0,1,0,0,2/HD17,stubbga01
777,Eugenio Suarez,30,SEA,AL,120,507,434,59,99,21,2,22,69,0,0,61,160,.228,.331,.438,.769,124,190,10,8,0,4,0,*5D/H,suareeu01
778,Jack Suwinski*,23,PIT,NL,72,250,222,33,44,9,0,14,25,2,2,24,76,.198,.288,.428,.716,98,95,4,4,0,0,1,798/HD,suwinja01
779,Kurt Suzuki,38,LAA,AL,43,138,123,9,23,4,0,3,13,0,0,12,28,.187,.261,.293,.554,57,36,3,1,0,2,0,2/H3D,suzukku01
780,Seiya Suzuki,27,CHC,NL,79,321,286,37,69,17,1,9,37,7,3,29,85,.241,.315,.402,.717,99,115,6,3,0,3,2,9/HD,suzukse01
781,Travis Swaggerty*,24,PIT,NL,5,9,9,0,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-37,1,0,0,0,0,0,/7H8D,swaggtr01
782,Dansby Swanson,28,ATL,NL,122,520,475,79,139,27,1,16,68,16,6,39,136,.293,.348,.455,.803,120,216,6,3,0,3,0,*6,swansda01
783,Raimel Tapia*,28,TOR,AL,95,318,302,32,82,17,1,5,38,5,1,10,58,.272,.294,.384,.678,93,116,10,0,3,1,0,*789/HD,tapiara01
784,Leody Taveras#,23,TEX,AL,59,203,186,24,55,12,2,3,27,7,4,14,52,.296,.340,.430,.770,121,80,2,0,0,3,0,8/HD,taverle01
785,Chris Taylor,31,LAD,NL,86,331,293,35,67,21,3,8,31,7,1,34,120,.229,.311,.403,.714,96,118,4,2,0,2,2,*79/8H45D,tayloch03
786,Michael A. Taylor,31,KCR,AL,93,336,304,35,81,7,2,6,30,1,1,28,84,.266,.328,.362,.690,97,110,4,1,1,2,0,*8/HD1,taylomi02
787,Tyrone Taylor,28,MIL,NL,87,313,289,32,64,15,2,12,40,1,1,17,80,.221,.275,.412,.687,91,119,9,5,0,2,0,*89/7HD,tayloty01
788,Rowdy Tellez*,27,MIL,NL,113,443,391,47,92,21,0,25,73,1,0,46,87,.235,.323,.481,.804,124,188,17,5,0,1,9,*3H/D,tellero01
789,Matt Thaiss*,27,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,/2H,thaisma01
790,Alek Thomas*,22,ARI,NL,88,327,303,36,73,13,1,8,31,4,3,20,61,.241,.294,.370,.663,87,112,6,3,0,1,0,*8/H,thomaal01
791,Dillon Thomas*,29,LAA,AL,8,14,11,1,1,0,0,0,0,0,0,2,6,.091,.286,.091,.377,14,1,0,1,0,0,0,/79H,thomadi01
792,Lane Thomas,26,WSN,NL,107,375,346,41,82,19,1,12,38,4,3,22,92,.237,.285,.402,.687,97,139,7,3,0,4,0,*789H/D,thomala02
793,Bubba Thompson,24,TEX,AL,15,57,52,2,13,1,0,0,5,5,0,2,17,.250,.304,.269,.573,68,14,0,2,1,0,0,7/89,thompbu01
794,Trayce Thompson,31,TOT,NL,49,146,128,19,33,10,1,5,23,2,1,17,52,.258,.349,.469,.818,125,60,0,1,0,0,0,79H/8D,thomptr01
795,Trayce Thompson,31,SDP,NL,6,16,14,1,1,0,0,0,2,0,1,2,7,.071,.188,.071,.259,-20,1,0,0,0,0,0,/9H7,thomptr01
796,Trayce Thompson,31,LAD,NL,43,130,114,18,32,10,1,5,21,2,0,15,45,.281,.369,.518,.887,142,59,0,1,0,0,0,79/8HD,thomptr01
797,Ka'ai Tom*,28,SFG,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H9,tomka01
798,Spencer Torkelson,22,DET,AL,83,298,264,25,52,11,0,5,21,0,1,29,76,.197,.282,.295,.577,68,78,9,3,0,2,0,*3/H,torkesp01
799,Abraham Toro#,25,SEA,AL,84,285,261,30,47,11,1,8,26,1,0,20,47,.180,.239,.322,.560,63,84,3,1,0,3,1,4D5H/39,toroab01
800,Luis Torrens,26,SEA,AL,45,141,131,9,28,2,0,1,10,0,0,8,45,.214,.262,.252,.514,53,33,5,1,0,1,0,2/DH41,torrelu01
801,Gleyber Torres,25,NYY,AL,109,433,401,54,99,21,1,18,50,5,4,26,94,.247,.296,.439,.735,108,176,10,3,1,2,1,*4/HD6,torregl01
802,Taylor Trammell*,24,SEA,AL,32,94,81,14,19,9,0,3,9,2,1,11,24,.235,.323,.457,.779,126,37,1,0,1,1,0,9/8HD,trammta01
803,Alan Trejo,26,COL,NL,11,40,39,6,9,1,0,1,6,0,0,1,9,.231,.250,.333,.583,56,13,1,0,0,0,0,/465H,trejoal01
804,Jose Trevino,29,NYY,AL,87,264,250,32,67,9,1,10,36,2,1,12,45,.268,.303,.432,.735,109,108,3,1,0,1,0,*2/H,trevijo01
805,Chadwick Tromp,27,ATL,NL,1,4,4,0,3,2,0,0,3,0,0,0,0,.750,.750,1.250,2.000,441,5,0,0,0,0,0,/2,trompch01
806,Mike Trout,30,LAA,AL,81,334,290,55,77,17,2,24,51,1,0,39,100,.266,.362,.586,.948,164,170,3,5,0,0,6,8/DH,troutmi01
807,Yoshi Tsutsugo*,30,PIT,NL,50,193,170,11,29,4,0,2,19,0,0,19,50,.171,.249,.229,.478,36,39,3,0,0,4,0,3D/H,tsutsyo01
808,Cole Tucker#,25,PIT,NL,18,63,63,3,11,1,1,0,2,1,0,0,25,.175,.175,.222,.397,11,14,1,0,0,0,0,9/46H,tuckeco01
809,Kyle Tucker*,25,HOU,AL,112,456,403,54,104,20,1,22,81,18,2,50,72,.258,.338,.476,.815,131,192,5,0,0,2,2,*9/DH,tuckeky01
810,Justin Turner,37,LAD,NL,96,397,349,45,89,24,0,9,61,2,0,37,66,.255,.327,.401,.729,101,140,11,4,0,7,1,5D/H,turneju01
811,Trea Turner,29,LAD,NL,119,525,485,74,148,31,2,18,83,20,2,30,97,.305,.344,.489,.833,127,237,9,2,0,6,1,*6,turnetr01
812,Justin Upton,34,SEA,AL,17,57,48,2,6,1,0,1,3,0,0,6,23,.125,.263,.208,.471,42,10,1,3,0,0,0,D/97H,uptonju01
813,Luis Urias,25,MIL,NL,87,364,313,42,69,10,1,13,39,1,2,40,81,.220,.319,.383,.702,98,120,5,7,0,4,0,546,uriaslu01
814,Ramon Urias,28,BAL,AL,89,340,314,41,79,15,0,13,44,1,0,17,73,.252,.293,.424,.716,102,133,5,3,2,4,1,54/6HD,uriasra01
815,Gio Urshela,30,MIN,AL,100,372,343,41,92,19,2,11,49,0,0,23,62,.268,.309,.431,.741,112,148,16,0,0,6,1,*5/HD6,urshegi01
816,Josh VanMeter*,27,PIT,NL,64,181,160,15,30,4,2,3,12,4,0,19,41,.188,.271,.294,.564,59,47,3,0,0,2,0,43H/152D9,vanmejo01
817,Ildemaro Vargas#,30,TOT,NL,25,81,73,8,20,2,1,2,8,1,0,5,9,.274,.333,.411,.744,113,30,2,2,0,1,0,56/4H,vargail01
818,Ildemaro Vargas#,30,CHC,NL,10,26,23,4,3,0,1,1,4,0,0,3,2,.130,.231,.348,.579,59,8,1,0,0,0,0,/64H,vargail01
819,Ildemaro Vargas#,30,WSN,NL,15,55,50,4,17,2,0,1,4,1,0,2,7,.340,.382,.440,.822,138,22,1,2,0,1,0,5/6,vargail01
820,Miguel Vargas,22,LAD,NL,2,8,8,0,2,1,0,0,2,1,0,0,1,.250,.250,.375,.625,70,3,0,0,0,0,0,/D3,vargami01
821,Daulton Varsho*,25,ARI,NL,111,443,395,54,93,18,3,16,56,8,5,37,103,.235,.306,.418,.724,103,165,6,5,2,4,0,982D/H,varshda01
822,Andrew Vaughn,24,CHW,AL,97,410,376,47,110,22,1,13,58,0,0,22,66,.293,.341,.460,.802,126,173,9,8,0,4,0,9D73/H4,vaughan01
823,Terrin Vavra*,25,BAL,AL,18,48,39,8,11,1,1,0,7,0,1,7,9,.282,.375,.359,.734,112,14,1,0,0,2,0,/DH749,vavrate01
824,Christian Vazquez,31,TOT,AL,96,351,326,37,94,20,0,8,45,1,2,19,56,.288,.330,.423,.754,110,138,7,3,0,3,0,*2/3H4,vazquch01
825,Christian Vazquez,31,BOS,AL,84,318,294,33,83,20,0,8,42,1,2,18,51,.282,.327,.432,.759,110,127,7,3,0,3,0,2/3H4,vazquch01
826,Christian Vazquez,31,HOU,AL,12,33,32,4,11,0,0,0,3,0,0,1,5,.344,.364,.344,.707,105,11,0,0,0,0,0,/2H,vazquch01
827,Andrew Velazquez#,27,LAA,AL,105,292,267,31,49,7,0,6,23,13,1,13,98,.184,.227,.277,.504,43,74,3,3,6,3,0,*6/H,velazan01
828,Nelson Velázquez,23,CHC,NL,47,126,115,16,27,4,1,6,18,3,1,11,39,.235,.302,.443,.745,106,51,3,0,0,0,0,8H97/D,velazne01
829,Alex Verdugo*,26,BOS,AL,114,476,440,51,125,30,0,7,58,1,2,29,53,.284,.330,.400,.730,103,176,12,3,0,4,2,*79/DH,verdual01
830,Matt Vierling,25,PHI,NL,80,241,216,26,47,7,0,4,18,6,4,19,53,.218,.282,.306,.588,66,66,7,2,0,4,0,879H/543D,vierlma01
831,David Villar,25,SFG,NL,23,80,63,8,11,2,1,1,7,0,0,13,28,.175,.338,.286,.623,79,18,1,3,0,1,0,5/43DH,villada01
832,Jonathan Villar#,31,TOT,MLB,59,220,202,25,42,6,2,3,18,7,0,15,59,.208,.260,.302,.562,58,61,4,0,1,2,0,45/H6D,villajo01
833,Jonathan Villar#,31,CHC,NL,46,166,153,19,34,6,2,2,15,6,0,11,42,.222,.271,.327,.598,67,50,3,0,0,2,0,45/H6D,villajo01
834,Jonathan Villar#,31,LAA,AL,13,54,49,6,8,0,0,1,3,1,0,4,17,.163,.226,.224,.451,29,11,1,0,1,0,0,5,villajo01
835,Meibrys Viloria*,25,TEX,AL,22,63,51,10,10,1,0,2,5,0,0,11,24,.196,.333,.333,.667,94,17,0,0,0,1,0,2/HD,vilorme01
836,Daniel Vogelbach*,29,TOT,NL,99,361,304,37,72,16,1,15,46,0,0,55,91,.237,.355,.444,.799,124,135,9,1,0,1,1,*DH/3,vogelda01
837,Daniel Vogelbach*,29,PIT,NL,75,278,237,29,54,10,1,12,34,0,0,40,67,.228,.338,.430,.769,115,102,8,0,0,1,1,DH/3,vogelda01
838,Daniel Vogelbach*,29,NYM,NL,24,83,67,8,18,6,0,3,12,0,0,15,24,.269,.410,.493,.902,156,33,1,1,0,0,0,D/H,vogelda01
839,Stephen Vogt*,37,OAK,AL,43,128,110,11,16,1,0,5,12,1,0,14,30,.145,.242,.291,.533,56,32,3,1,0,3,0,D2H/3,vogtst01
840,Luke Voit,31,TOT,NL,96,402,348,44,78,18,0,16,53,1,1,44,132,.224,.318,.414,.732,111,144,5,6,0,4,1,D3/H,voitlu01
841,Luke Voit,31,SDP,NL,82,344,298,38,67,18,0,13,48,1,1,39,110,.225,.317,.416,.733,111,124,5,3,0,4,1,D3/H,voitlu01
842,Luke Voit,31,WSN,NL,14,58,50,6,11,0,0,3,5,0,0,5,22,.220,.328,.400,.728,110,20,0,3,0,0,0,3/D,voitlu01
843,Jason Vosler*,28,SFG,NL,23,74,66,10,19,4,0,4,10,1,1,7,19,.288,.351,.530,.882,145,35,1,0,0,1,1,5/H346,vosleja01
844,Joey Votto*,38,CIN,NL,91,376,322,31,66,18,1,11,41,0,0,44,97,.205,.319,.370,.689,86,119,8,10,0,0,0,3D/H,vottojo01
845,LaMonte Wade Jr.*,28,SFG,NL,46,141,120,15,22,4,1,8,22,0,0,16,28,.183,.293,.433,.726,102,52,0,3,1,1,0,9D7/3H8,wadela01
846,Tyler Wade*,27,LAA,AL,67,163,147,22,32,5,0,1,8,8,5,10,33,.218,.272,.272,.544,56,40,3,1,5,0,0,465H/798D,wadety01
847,Christian Walker,31,ARI,NL,118,489,419,59,92,17,1,29,70,0,2,58,94,.220,.319,.473,.792,121,198,10,6,0,6,2,*3D,walkech02
848,Steele Walker*,25,TEX,AL,5,16,14,1,1,0,0,1,1,0,0,2,4,.071,.188,.286,.473,34,4,0,0,0,0,0,/7H9,walkest01
849,Chad Wallach,30,LAA,AL,10,36,32,3,5,1,0,1,4,0,0,3,7,.156,.229,.281,.510,44,9,1,0,1,0,0,2,wallach01
850,Taylor Walls#,25,TBR,AL,106,357,313,39,56,15,2,6,22,7,3,40,91,.179,.275,.297,.572,69,93,5,2,1,1,0,654/HD,wallsta01
851,Jared Walsh*,28,LAA,AL,114,439,411,40,91,18,2,15,44,2,1,24,131,.221,.271,.384,.655,84,158,6,4,0,0,4,*3/H7,walshja01
852,Donovan Walton*,28,TOT,MLB,25,78,76,9,12,8,0,1,8,0,0,1,16,.158,.179,.303,.482,33,23,1,1,0,0,0,46/H51,waltodo01
853,Donovan Walton*,28,SEA,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/5H,waltodo01
854,Donovan Walton*,28,SFG,NL,24,78,76,8,12,8,0,1,8,0,0,1,16,.158,.179,.303,.482,33,23,1,1,0,0,0,46/H1,waltodo01
855,Taylor Ward,28,LAA,AL,96,406,351,53,91,13,2,16,44,3,3,48,95,.259,.352,.444,.797,125,156,3,4,0,3,0,*9/8H5D7,wardta01
856,Luke Weaver,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/DH,weavelu01
857,Luke Weaver,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/DH,weavelu01
858,J.B. Wendelken,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wendejb01
859,Joey Wendle*,32,MIA,NL,71,260,242,17,63,15,1,2,24,9,1,11,34,.260,.300,.355,.655,85,86,3,4,0,3,0,546/HD,wendljo01
860,Eli White,28,TEX,AL,47,117,105,16,21,2,0,3,10,12,1,11,41,.200,.274,.305,.578,67,32,0,0,0,1,0,87/HD9,whiteel04
861,Aaron Whitefield,25,LAA,AL,5,11,11,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0,/987H,whiteaa01
862,Luke Williams,25,TOT,NL,58,109,101,17,25,4,1,1,6,10,3,8,32,.248,.303,.337,.639,81,34,0,0,0,0,1,57H4/D,willilu01
863,Luke Williams,25,SFG,NL,8,12,12,1,3,1,0,0,3,0,0,0,4,.250,.250,.333,.583,63,4,0,0,0,0,0,/5H7,willilu01
864,Luke Williams,25,MIA,NL,50,97,89,16,22,3,1,1,3,10,3,8,28,.247,.309,.337,.646,83,30,0,0,0,0,1,75H4/D,willilu01
865,Trevor Williams,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,willitr01
866,Marcus Wilson,25,SEA,AL,3,6,5,1,1,0,0,0,0,0,0,1,4,.200,.333,.200,.533,63,1,0,0,0,0,0,/H98D,wilsoma02
867,Jesse Winker*,28,SEA,AL,108,450,377,41,85,14,0,13,48,0,0,69,82,.225,.344,.366,.710,110,138,8,1,0,3,1,*7D/H,winkeje01
868,Patrick Wisdom,30,CHC,NL,114,460,401,59,88,24,0,22,58,7,4,50,154,.219,.314,.444,.758,110,178,8,6,1,2,1,*53/7HD89,wisdopa01
869,Bobby Witt,22,KCR,AL,111,459,430,59,107,20,5,16,59,23,4,22,105,.249,.290,.430,.720,101,185,9,4,0,3,1,65/DH,wittbo02
870,Tony Wolters*,30,LAD,NL,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/42DH,wolteto01
871,Connor Wong,26,BOS,AL,5,9,8,0,2,0,0,0,1,0,0,0,2,.250,.222,.250,.472,32,2,0,0,0,1,0,/24H,wongco01
872,Kolten Wong*,31,MIL,NL,96,367,320,48,77,18,4,8,32,12,4,32,67,.241,.321,.397,.717,102,127,4,8,2,5,1,*4/HD6,wongko01
873,Austin Wynns,31,SFG,NL,40,106,94,9,21,3,0,1,11,0,0,9,22,.223,.295,.287,.582,66,27,6,1,1,1,0,2/DH1,wynnsau01
874,Mike Yastrzemski*,31,SFG,NL,108,407,351,51,73,22,1,12,44,3,1,48,97,.208,.307,.379,.686,93,133,3,4,0,4,0,*98H/D,yastrmi01
875,Christian Yelich*,30,MIL,NL,114,502,429,77,108,18,4,9,38,16,1,66,121,.252,.355,.375,.731,107,161,8,4,1,2,4,*7D/H,yelicch01
876,Juan Yepez,24,STL,NL,62,228,209,24,53,10,0,11,27,0,0,14,53,.254,.298,.459,.758,116,96,1,1,0,4,0,7D93/H,yepezju01
877,Seby Zavala,28,CHW,AL,41,143,129,15,36,9,0,2,18,0,0,9,49,.279,.326,.395,.722,104,51,0,1,2,2,0,2/H3D,zavalse01
878,Bradley Zimmer*,29,TOT,MLB,80,93,82,12,9,5,0,2,3,2,1,5,34,.110,.207,.244,.450,29,20,0,5,1,0,0,8H/D9,zimmebr01
879,Bradley Zimmer*,29,TOR,AL,77,87,76,11,8,4,0,2,3,2,1,5,33,.105,.209,.237,.446,28,18,0,5,1,0,0,8H/D9,zimmebr01
880,Bradley Zimmer*,29,PHI,NL,3,6,6,1,1,1,0,0,0,0,0,0,1,.167,.167,.333,.500,36,2,0,0,0,0,0,/8,zimmebr01
881,Mike Zunino,31,TBR,AL,36,123,115,7,17,3,0,5,16,0,0,6,46,.148,.195,.304,.499,44,35,2,1,0,1,0,2/H,zuninmi01
,LgAvg per 600 PA,,,,166,600,538,69,130,26,2,17,65,8,3,50,135,.242,.311,.392,.703,,211,11,7,1,4,1,,-9999